AC,DC
239.271,452
249.811,453.6
252.337,446.5
252.619,435.5
257.602,424.5
251.395,411.9
240.961,356
224.603,318.2
214.597,307.9
162.208,286.7
144.775,224.4
142.209,208.7
139.807,212.6
138.775,207.9
139.186,211.8
138.153,209.5
136.322,207.9
135.032,241
135.476,309.5
134.886,400.8
190.149,431.6
208.656,459.9
222.033,470.1
244.086,482.7
257.104,470.9
269.429,460.7
274.327,450.5
280.307,439.4
285.663,421.3
282.973,406.4
268.215,350.4
251.039,313.4
233.546,307.1
168.894,277.2
151.335,217.4
149.253,202.4
144.474,204
142.733,204
142.118,206.3
142.149,217.4
141.765,221.3
138.081,247.3
136.519,304
134.979,381.9
195.664,422.1
230.245,444.9
237.401,443.4
254.034,431.6
267.535,434.7
271.924,420.5
264.906,425.3
262.906,417.4
266.605,400.8
262.317,389
250.679,335.5
236.241,295.3
224.23,281.1
167.983,248.1
141.346,207.9
141.316,196.1
143.599,189
141.004,191.4
138.111,191.4
139.034,193.7
136.709,189.8
135.829,198.5
135.649,198.5
134.019,185.1
187.28,192.2
202.543,197.7
200.642,198.5
199.96,200
201.578,196.1
207.661,197.7
208.435,196.1
208.304,193.7
210.117,192.2
214.879,196.9
214.837,195.3
215.418,207.9
209.911,221.3
159.578,221.3
144.376,205.5
141.545,196.9
136.346,194.5
137.248,198.5
137.676,195.3
135.221,200.8
132.022,196.9
133.675,202.4
133.298,208.7
133.281,191.4
132.845,186.6
126.473,181.9
127.521,187.4
126.954,188.2
130.88,195.3
134.862,207.9
135.522,205.5
139.177,187.4
140.653,187.4
141.781,195.3
141.349,181.1
141.521,197.7
140.553,205.5
143.366,204.8
140.888,199.2
139.989,200
140.835,199.2
140.116,196.9
139.949,199.2
141.372,200
137.795,204.8
135.637,252
134.487,317.4
134.728,389
184.004,436.3
205.672,447.3
209.558,454.4
211.508,449.7
219.459,448.1
219.905,448.9
220.198,448.9
218.971,432.3
222.405,422.1
218.785,404.8
218.549,341.8
212.608,296.1
209.468,281.9
156.457,249.6
139.124,200
137.921,187.4
135.827,186.6
136.082,187.4
136.133,195.3
134.903,208.7
135.94,214.2
136.138,238.6
134.151,307.9
135.495,389.8
189.945,426
224,450.5
231.667,459.1
246.315,450.5
258.951,460.7
264.153,442.6
269.242,438.6
271.09,420.5
267.215,408.7
260.047,398.5
252.936,348.1
236.599,302.4
229.596,291.4
176.587,270.1
157.348,207.1
152.786,198.5
149.625,201.6
146.515,201.6
144.058,200.8
142.196,201.6
139.016,202.4
136.367,226.8
135.292,303.2
135.073,378.8
188.836,442.6
224.105,446.5
239.803,477.2
253.355,474.1
266.517,451.2
268.759,444.2
272.237,445.7
265.227,430
274.375,418.2
267.996,405.6
250.37,346.5
232.506,293.7
223.735,289
167.824,259.1
149.338,207.1
148.369,193.7
147.006,193.7
146.738,192.9
146.533,191.4
145.849,195.3
142.939,195.3
144.666,233.9
143.507,305.6
143.349,381.2
195.621,437.9
227.629,441
239.712,471.7
249.078,457.5
262.77,452.8
265.043,458.3
261.59,447.3
257.995,430.8
259.101,419.7
260.146,404
249.722,341.8
233.768,294.5
219.372,293
166.441,267.8
153.221,210.3
151.327,196.9
150.011,198.5
145.74,206.3
144.847,207.1
142.393,216.6
139.05,227.6
140.756,247.3
139.485,319.7
138.147,378.8
190.582,417.4
214.051,450.5
227.88,460.7
240.84,463.1
248.363,441.8
255.058,456
253.645,477.2
253.807,462.3
259.723,444.9
248.423,428.4
239.207,372.5
221.562,323.7
207.752,305.6
153.52,267.8
137.471,226.8
136.757,210.3
135.585,211.1
136.602,210.3
136.484,209.5
134.182,211.1
131.54,211.8
132.052,214.2
129.874,218.1
130.251,200
183.155,218.1
191.995,216.6
190.024,222.9
193.799,216.6
195.528,217.4
199.287,215.8
199.999,214.2
203.352,211.8
202.533,212.6
202.033,210.3
203.607,210.3
199.881,226
197.356,233.9
149.468,233.1
132.853,216.6
131.791,209.5
132.728,211.1
134.519,207.9
132.797,210.3
129.944,210.3
127.958,212.6
127.815,213.4
127.663,220.5
129.102,197.7
129.562,197.7
127.082,196.1
128.075,197.7
128.109,210.3
130.427,206.3
131.683,209.5
133.204,211.1
140.679,213.4
134.87,211.1
131.871,200.8
131.995,197.7
133.96,207.1
135.638,222.1
135.478,218.9
137.09,208.7
137.301,189
131.663,189
134.289,187.4
131.183,192.2
126.977,194.5
126.347,196.9
124.542,249.6
123.634,311.9
123.964,385.1
174.425,419.7
207.848,471.7
215.889,458.3
233.217,447.3
242.842,454.4
246.5,471.7
247.765,460.7
239.071,452
230.325,447.3
230.969,431.6
222.943,344.9
201.048,296.1
194.234,289
163.641,260.7
148.543,198.5
147.044,185.1
144.035,184.3
145.008,182.7
142.555,184.3
141.197,196.9
141.658,202.4
140.085,211.1
139.537,278.8
139.562,355.2
188.647,407.1
195.862,437.1
199.496,463.8
222.091,451.2
227.006,448.1
229.676,448.9
229.485,451.2
218.703,430.8
219.52,426
222.386,411.9
214.525,348.9
203.786,296.9
197.403,292.2
158.999,274.8
146.68,206.3
147.398,196.1
143.362,196.9
142.473,192.2
139.986,196.1
140.031,192.2
136.452,192.9
134.922,219.7
133.638,270.9
133.465,367
181.726,431.6
194.978,460.7
208.388,459.9
220.812,473.3
223.033,459.9
221.143,464.6
222.893,512.7
219.187,500.9
224.752,502.4
219.751,496.9
218.141,407.9
204.521,302.4
197.319,295.3
159.433,274.1
148.821,205.5
143.418,192.9
140.265,189.8
140.502,190.6
141.808,196.9
137.064,195.3
135.904,196.9
134.921,204
134.283,248.1
131.478,348.9
181.147,411.1
198.167,431.6
199.353,456.8
207.963,450.5
211.662,449.7
218.116,458.3
220.969,444.9
215.362,430
224.697,418.2
226.846,404.8
224.188,349.7
211.019,300.8
202.193,294.5
171.127,274.1
159.932,212.6
154.456,204
152.88,197.7
148.894,199.2
147.583,200
146.214,207.9
146.77,215.8
143.844,223.7
142.031,276.4
138.654,351.2
190.591,411.1
202.815,435.5
198.906,448.9
208.195,444.9
218.68,434.7
223.246,435.5
229.016,465.4
221.59,433.1
227.253,409.5
224.993,387.5
221.811,330.8
206.807,296.1
198.018,293.7
165.668,258.3
155.744,203.2
151.705,196.9
151.533,196.1
148.855,201.6
145.861,186.6
142.156,185.9
142.453,186.6
142.663,192.2
143.824,205.5
143.782,171.7
186.691,197.7
190.749,192.2
182.047,191.4
183.165,192.2
184.595,196.9
189.532,200.8
191.298,209.5
194.439,192.2
199.144,185.9
201.069,185.1
193.479,181.1
191.041,190.6
186.601,204
156.563,206.3
144.749,185.9
146.393,181.1
142.098,185.9
143.714,180.3
144.596,186.6
142.226,183.5
142.323,184.3
141.136,189
138.392,189.8
138.179,169.3
138.063,174.8
135.679,187.4
133.882,185.1
136.563,177.2
139.664,163
140.218,166.2
143.111,175.6
145.199,166.2
144.003,166.2
144.883,166.2
145.986,163
143.88,172.5
144.22,186.6
142.154,187.4
145.598,181.9
144.861,180.3
144.049,180.3
139.583,179.6
139.599,181.1
135.538,179.6
136.109,181.1
135.283,220.5
137.01,255.9
137.501,325.2
186.772,407.1
202.528,451.2
218.629,550.5
221.802,611.1
234.587,617.4
238.831,605.6
240.074,618.2
244.639,573.3
250.418,548.9
240.575,522.1
232.526,423.7
228.12,331.5
208.657,286.7
162.616,257.5
151.162,205.5
148.351,185.1
144.784,186.6
147.552,184.3
147.108,181.1
143.512,189.8
142.795,185.9
142.495,210.3
141.083,270.9
142.055,316.6
193.32,432.3
204.675,559.1
216.772,574.9
225.458,587.5
239.042,574.9
243.42,595.4
246.754,599.3
246.943,583.5
243.055,565.4
228.722,556.8
211.175,438.6
202.992,352
194.903,298.5
161.617,273.3
151.7,213.4
146.359,197.7
139.732,197.7
140.333,194.5
138.893,196.9
138.604,194.5
138.693,194.5
137.346,198.5
135.905,255.2
134.503,334.7
181.282,477.2
197.347,544.2
212.229,538.7
225.464,541
233.365,535.5
230.516,546.5
230.79,568.6
230.39,584.3
228.412,565.4
221.771,558.3
222.811,460.7
197.07,340.2
193.722,317.4
163.228,283.5
148.659,231.5
145.002,219.7
143.21,215.8
140.527,215.8
141.026,212.6
139.697,206.3
139.408,203.2
139.44,207.1
139.022,249.6
139.516,345.7
186.917,400.8
202.393,431.6
208.167,444.9
225.008,446.5
230.451,453.6
232.024,457.5
236.495,504
230.95,529.2
228.295,498.5
223.072,479.6
218.433,343.4
206.852,289.8
193.969,292.2
160.92,267.8
147.482,192.2
142.734,183.5
141.328,179.6
143.575,178.8
146.372,181.9
144.241,181.9
143.469,198.5
141.192,211.1
143.096,259.9
143.301,291.4
187.054,361.5
201.767,378
204.783,376.4
228.068,396.9
238.417,396.9
242.729,458.3
255.429,477.2
255.448,481.2
264.851,468.6
256.43,466.2
234.912,389
206.729,267
196.369,243.3
162.208,237.8
146.475,192.2
140.285,178
142.136,180.3
143.622,178.8
145.059,180.3
145.831,180.3
140.337,184.3
139.041,189.8
138.437,185.9
138.145,171.7
185.468,196.1
184.975,188.2
181.049,185.1
182.572,182.7
185.131,185.1
186.53,182.7
201.666,186.6
206.377,182.7
209.635,181.1
204.339,182.7
201.667,181.1
199.439,187.4
193.483,204
150.094,207.9
137.196,184.3
136.286,176.4
136.911,179.6
139.032,177.2
138.002,177.2
136.608,175.6
137.537,178
136.999,181.9
135.819,180.3
134.222,160.7
135.665,164.6
132.672,163
132.552,163.8
133.195,167
134.167,163
137.752,168.5
136.927,182.7
140.947,182.7
140.653,185.1
141.069,184.3
139.547,187.4
140.576,188.2
142.159,208.7
144.654,208.7
145.384,219.7
143.546,215.8
143.716,216.6
142.122,215
139.633,215.8
138.406,215
138.22,215.8
137.859,225.2
137.251,374.1
137.741,479.6
191.289,530.8
203.927,603.2
222.403,598.5
247.271,585.1
265.505,615.8
272.639,580.4
280.043,611.1
275.996,599.3
278.657,593
272.629,561.5
262.494,463.8
242.161,350.4
229.221,318.9
167.253,298.5
150.745,241
150.004,205.5
145.544,193.7
146.727,193.7
149.215,195.3
151.703,186.6
154.191,192.2
211.58,217.4
208.563,252.8
208.154,340.2
209.39,411.9
219.901,456
236.555,470.9
251.744,471.7
260.119,471.7
269.166,575.7
273.162,599.3
264.703,561.5
263.907,542.6
264.912,493.8
251.008,361.5
232.542,299.3
220.723,301.6
162.175,285.1
139.16,230
141.333,211.1
139.162,210.3
138.849,208.7
134.518,207.9
133.007,206.3
131.832,211.1
130.706,219.7
129.381,262.2
133.061,330
189.544,412.7
211.128,445.7
228.001,462.3
255.455,457.5
267.032,455.2
269.502,449.7
269.499,452.8
265.101,441.8
263.947,424.5
259.899,407.1
251.908,337.1
235.636,291.4
224.41,294.5
168.14,276.4
145.504,207.9
145.947,194.5
146.8563333,192.2
147.7656667,191.4
148.675,195.3
204.804,191.4
196.887,189
188.141,196.9
188.212,246.5
186.084,333.1
183.089,417.4
193.705,451.2
211.445,462.3
225.153,459.9
241.552,461.5
249.32,487.5
264.165,544.2
246.686,567.8
258.48,571.7
255.486,544.2
236.268,451.2
215.904,341
202.501,315.8
153.706,304.8
138.04,240.2
135.606,229.2
136.318,226.8
133.15,222.9
132.637,222.1
130.825,236.3
132.77,245.7
132.354,250.4
133.127,274.8
133.008,309.5
184.558,425.3
190.489,448.1
190.472,473.3
191.129,460.7
189.292,446.5
185.061,445.7
191.114,437.9
189.789,441
189.229,440.2
186.05,430.8
185.108,372.5
180.506,334.7
184.844,315
155.434,289.8
145.652,250.4
140.126,226.8
140.631,222.9
138.706,226.8
136.259,224.4
136.733,221.3
137.858,225.2
136.248,230.7
135.697,219.7
135.069,225.2
182.629,245.7
181.039,245.7
178.194,248.9
179.398,248.9
176.903,246.5
177.505,236.3
182.595,233.9
185.904,231.5
196.347,230
195.385,215
191.545,208.7
179.082,215.8
180.731,235.5
150.322,233.1
140.02,207.9
139.65,203.2
138.388,203.2
136.786,203.2
137.276,200
134.642,200
134.489,200.8
132.959,207.1
133.042,195.3
133.099,184.3
133.819,207.1
133.743,226
131.663,226
131.582,244.9
129.757,251.2
131.659,316.6
134.079,303.2
134.377,272.5
133.599,307.9
136.352,239.4
136.839,215
140.521,215.8
137.21,233.1
139.691,235.5
143.638,226.8
141.337,227.6
142.148,217.4
139.147,219.7
140.335,203.2
135.369,204.8
134.711,208.7
137.273,228.4
146.2853333,269.3
155.2976667,354.4
164.31,411.9
193.312,442.6
188.978,454.4
182.222,449.7
187.993,453.6
198.297,456
205.666,457.5
208.482,437.1
213.48,429.2
211.675,415.8
208.063,348.1
191.307,290.6
190.588,292.2
155.482,272.5
137.423,214.2
137.595,192.9
135.762,189.8
134.067,190.6
135.768,192.2
133.426,202.4
131.342,211.8
131.232,219.7
129.364,259.1
128.986,330.8
181.838,407.9
203.027,441.8
206.701,452
222.746,459.1
241.144,459.1
250.89,478
214.2403333,466.2
177.5906667,452.8
140.941,436.3
253.27,419.7
245.389,366.2
230.746,304.8
218.552,306.3
166.019,296.1
154.6303333,218.1
143.2416667,206.3
131.853,206.3
218.474,208.7
211.822,202.4
213.154,202.4
212.883,204
209.417,212.6
115.476,271.7
114.4055,348.9
113.335,425.3
219.984,456.8
239.004,456.8
260.467,478
267.52,511.1
270.334,514.2
263.623,517.4
264.878,511.1
268.695,533.9
197.067,526.8
237.147,444.9
238.827,326.8
218.289,308.7
175.395,295.3
136.979,233.9
114.4985,211.1
92.018,203.2
210.113,209.5
209.205,210.3
201.09,205.5
94.438,203.2
126.816,209.5
159.194,236.3
191.572,336.3
197.484,415.8
205.519,501.6
216.735,564.6
206.413,570.2
189.1423333,582.8
171.8716667,581.2
154.601,560.7
259.867,570.2
262.495,567
272.449,522.9
253.342,452
238.045,329.2
219.413,315.8
169.92,302.4
157.884,228.4
156.311,215.8
154.244,213.4
150.494,210.3
152.584,213.4
151.012,220.5
144.5893333,226
138.1666667,248.1
131.744,282.7
189.778,347.3
187.55,421.3
195.854,561.5
213.371,574.1
227.379,597.7
239.339,574.9
250.56,594.6
251.077,632.4
252.581,582.8
254.074,565.4
231.142,543.4
210.295,442.6
196.49,334.7
195.525,320.5
159.966,294.5
149.733,232.3
146.4,216.6
144.768,216.6
142.172,215.8
143.826,215
143.85,216.6
138.623,215.8
137.33,221.3
134.576,207.1
136.925,213.4
163.686,216.6
171.252,220.5
172.305,222.9
171.616,224.4
171.194,218.9
178.066,220.5
180.234,217.4
183.975,221.3
185.683,219.7
184.198,218.9
188.423,218.9
181.922,215
180.82,241.8
156.128,237.8
143.676,219.7
141.182,208.7
141.91,211.1
140.85,207.1
138.693,214.2
138.512,211.1
135.249,212.6
137.613,215.8
135.861,205.5
135.536,194.5
132.427,196.9
135.206,196.1
134.41,213.4
129.595,212.6
132.212,200.8
133.62,200.8
133.952,196.9
141.702,195.3
140.721,195.3
142.987,196.9
141.534,194.5
142.435,189
143.06,218.1
139.855,215.8
140.445,210.3
141.07,207.1
142.42,208.7
143.769,203.2
144.781,210.3
144.377,204
140.438,207.1
136.461,211.8
134.36,252
132.353,347.3
182.113,419.7
203.739,452
213.139,464.6
226.512,467.8
241.213,461.5
237.251,533.1
250.844,607.2
245.148,604.8
242.066,575.7
238.711,574.1
223.512,459.9
221.955,350.4
203.123,317.4
162.576,294.5
151.803,230
147.267,219.7
146.607,217.4
145.006,220.5
146.363,217.4
146.168,259.9
145.635,293
146.282,392.2
143.418,386.7
143.274,435.5
180.147,543.4
211.811,604.8
218.954,584.3
224.874,623.7
239.784,615.8
249.155,597.7
247.28,577.2
239.356,601.7
240.391,567.8
230.568,553.6
220.841,440.2
207.093,341
196.996,322.1
159.551,306.3
154.212,233.9
148.077,219.7
147.607,215.8
146.324,211.1
147.001,217.4
144.303,213.4
145.209,211.1
143.605,221.3
142.172,252
142.278,341.8
174.377,427.6
192.662,463.8
181.837,477.2
185.25,525.3
188.432,559.1
192.682,543.4
208.533,541
206.473,532.4
210.511,530
214.472,504
211.523,428.4
196.194,311.1
187.432,296.1
162.344,278.8
152.109,203.2
148.167,191.4
147.386,189.8
149.008,187.4
149.101,187.4
146.659,186.6
148.029,188.2
143.255,202.4
144.128,252
141.961,329.2
176.838,422.9
199.055,464.6
209.227,500.1
226.734,537.9
234.831,622.9
245.557,590.6
240.915,526.1
239.859,428.4
250.821,429.2
248.51,410.3
227.703,335.5
211.201,270.9
198.879,277.2
173.397,252
160.999,189.8
156.97,179.6
150.788,177.2
152.038,177.2
151.817,178
151.07,181.1
149.864,192.2
150.246,223.7
149.566,252.8
150.899,311.1
183.133,389.8
207.575,433.1
222.643,455.2
230.316,465.4
238.731,469.4
239.155,457.5
235.278,438.6
232.038,436.3
240.572,434.7
233.949,424.5
221.066,352.8
202.489,302.4
194.253,309.5
161.476,284.3
152.318,211.8
152.361,198.5
148.518,205.5
149.139,207.9
147.555,201.6
145.618,203.2
146.174,208.7
146.868,207.1
143.268,191.4
142.539,202.4
172.001,214.2
181.692,208.7
181.675,218.1
176.322,225.2
181.497,229.2
189.302,230.7
195.299,216.6
198.976,215
199.454,211.1
197.035,231.5
180.975,223.7
175.292,215.8
180.72,229.2
154.463,237
145.035,209.5
145.556,203.2
141.681,199.2
144.566,200
141.054,202.4
142.355,195.3
139.796,197.7
139.768,200.8
136.09,192.2
137.721,177.2
137.952,182.7
138.331,182.7
134.669,180.3
139.406,180.3
141.251,194.5
141.826,198.5
147.361,196.9
152.498,192.9
149.407,179.6
151.336,184.3
149.247,182.7
148.778,198.5
147.897,215.8
147.149,202.4
144.582,194.5
144.346,192.2
146.742,191.4
145.2,191.4
145.178,195.3
141.111,194.5
142.532,211.8
143.727,223.7
141.743,253.6
139.122,335.5
169.416,411.1
191.068,447.3
177.875,454.4
181.909,457.5
192.472,454.4
217.618,451.2
215.902,448.1
218.534,437.1
222.203,422.9
222.215,407.1
215.599,345.7
214.053,286.7
211.801,287.4
174.232,255.2
156.805,196.9
152.509,186.6
150.545,186.6
151.661,183.5
147.989,189.8
151.198,197.7
149.764,222.1
145.993,241.8
148.312,263
143.577,335.5
177.511,415
199.153,453.6
215.957,467
231.867,460.7
240.536,463.1
255.973,522.9
265.595,538.7
254.757,541.8
251.226,511.9
249.427,510.3
237.609,416.6
217.564,284.3
198.901,285.9
166.476,255.2
156.978,201.6
159.134,189
154.13,189
154.097,188.2
149.716,189.8
146.079,185.1
145.002,198.5
146.233,211.8
135.8213333,233.9
125.4096667,341.8
114.998,396.9
193.623,435.5
210.035,448.9
228.97,462.3
248.417,533.1
257.989,536.3
263.585,551.3
263.406,529.2
261.237,524.5
260.82,487.5
248.497,418.2
233.685,290.6
207.97,281.1
175.963,259.1
165.4463333,187.4
154.9296667,177.2
144.413,177.2
198.154,175.6
197.216,176.4
192.632,173.3
195.022,193.7
193.756,211.8
191.458,256.7
187.216,316.6
186.954,400.1
192.49,436.3
213.099,446.5
225.777,447.3
242.149,441
262.938,448.1
270.902,514.2
268.064,524.5
269.414,433.9
261.173,408.7
248.461,342.6
234.65,284.3
212.097,283.5
176.648,257.5
155.459,189
155.588,179.6
154.514,178.8
151.632,178.8
151.331,182.7
149.624,189
145.902,215.8
145.3,230
143.469,260.7
141.559,322.1
179.487,406.4
202.352,444.2
210.097,449.7
223.072,450.5
237.844,445.7
245.6,445.7
244.981,463.1
247.011,522.9
248.035,494.6
229.968,407.1
216.643,327.6
205.863,273.3
196.188,270.1
164.724,236.3
153.826,192.2
147.625,181.1
147.358,180.3
143.618,179.6
139.469,180.3
139.772,179.6
138.267,179.6
138.722,184.3
137.92,167
135.925,178.8
161.522,188.2
170.808,185.9
172.497,196.9
168.292,181.9
170.183,194.5
157.872,189
159.673,173.3
162.178,174
164.052,174.8
165.77,174
162.909,177.2
160.579,167.7
160.229,208.7
141.729,208.7
133.675,194.5
133.369,193.7
133.754,190.6
132.413,191.4
131.768,193.7
127.813,192.9
128.952,191.4
126.277,193.7
124.238,179.6
122.105,175.6
121.953,175.6
117.504,170.9
115.912,174
119.623,172.5
122.827,170.9
125.517,172.5
129.153,193.7
129.185,196.1
130.051,198.5
133.73,200.8
135.124,204
137.379,200
133.427,218.1
131.076,219.7
132.194,202.4
136.887,193.7
134.629,191.4
133.618,191.4
135.874,189
133.301,186.6
124.965,205.5
124.474,228.4
124.838,269.3
124.29,335.5
159.61,406.4
181.243,435.5
185.199,447.3
193.256,454.4
204.314,521.3
213.808,557.6
209.816,546.5
207.958,530.8
209.179,520.5
203.743,515
191.586,431.6
181.358,325.2
171.345,295.3
152.385,284.3
146.568,215.8
144.889,197.7
143.047,197.7
142.713,195.3
141.176,194.5
138.956,194.5
137.87,218.9
137.256,241.8
136.926,264.6
136.975,330.8
159.283,413.4
191.5,561.5
188.085,593.8
199.622,576.5
209.516,585.1
210.168,590.6
213.689,591.4
238.562,565.4
234.683,550.5
228.843,520.5
216.937,434.7
203.164,325.2
206.34,296.9
178.512,282.7
167.05,210.3
165.191,196.9
162.171,194.5
159.849,192.9
156.577,193.7
155.994,195.3
152.116,192.9
152.539,202.4
145.774,244.9
146.767,322.9
178.26,510.3
212.538,589.1
211.437,603.2
227.899,619.8
241.477,623.7
246.526,613.5
242.095,614.3
244.103,604.8
242.565,593
240.038,582.8
235.684,466.2
220.872,344.1
203.444,307.9
178.261,288.2
175.511,227.6
169.809,211.8
161.353,210.3
159.142,211.8
156.676,211.8
152.774,210.3
152.437,344.1
150.122,354.4
149.544,348.1
149.586,465.4
182.447,580.4
215.534,634.7
214.856,674.9
232.035,674.9
242.519,689.9
248.382,663.9
256.717,662.3
245.263,656
246.025,640.2
244.62,628.4
233.23,484.3
220.17,370.9
204.25,318.2
170.196,289.8
155.562,232.3
161.78,218.1
151.98,215.8
147.742,215
146.524,215.8
146.591,364.6
144.315,506.4
143.018,492.2
144.821,490.6
140.984,500.9
177.662,601.7
212.317,633.9
212.491,659.9
229.328,649.7
241.748,663.9
251.222,650.5
245.924,662.3
242.919,640.2
249.603,626.9
245.3,607.2
231.581,477.2
213.644,347.3
203.736,305.6
174.546,270.9
162.445,221.3
160.08,211.8
153.366,212.6
150.763,210.3
148.082,210.3
147.992,211.1
145.227,207.1
141.946,216.6
139.825,189.8
139.512,211.1
165.421,215
173.296,213.4
172.017,215
167.932,215.8
171.389,222.9
173.282,229.2
177.852,240.2
189.583,227.6
187.402,222.9
187.283,218.1
185.946,219.7
187.812,216.6
185.096,233.1
163.014,240.2
154.549,222.9
153.721,207.9
150.818,212.6
148.846,215
144.817,213.4
142.972,207.1
141.757,207.1
144.52,215
144.191,190.6
143.164,187.4
142.889,192.2
137.742,192.9
135.524,194.5
135.222,191.4
136.09,200.8
139.831,202.4
143.976,202.4
143.889,203.2
148.17,201.6
146.593,204.8
149.1,207.1
148.417,219.7
151.267,235.5
157.09,244.9
155.641,224.4
150.473,215.8
150.46,211.8
148.818,209.5
151.334,211.1
148.119,207.1
145.266,208.7
144.495,218.9
145.461,246.5
143.491,322.1
184.036,409.5
199.746,440.2
206.74,447.3
222.368,446.5
169.83,453.6
230.071,450.5
252.59,459.1
256.183,447.3
261.364,439.4
262.954,426.8
258.072,361.5
240.777,305.6
229.084,316.6
184.003,294.5
162.098,234.7
162.527,223.7
155.206,220.5
151.061,222.1
152.986,222.1
150.301,213.4
151.813,215.8
150.716,233.9
149.493,277.2
147.397,330
181.335,420.5
202.499,454.4
214.288,554.4
220.592,543.4
248.865,560.7
263.013,576.5
269.903,546.5
272.624,544.2
265.053,543.4
256.416,504.8
245.986,441
237.162,337.1
221.133,316.6
167.177,304.8
149.521,235.5
152.819,219.7
146.542,215
150.595,215.8
147.866,217.4
141.659,214.2
142.583,213.4
140.66,225.2
138.07,252
136.662,323.7
192.717,416.6
221.817,465.4
218.286,572.5
229.11,569.4
236.234,569.4
245.827,595.4
244.935,572.5
251.246,578
254.782,556
249.218,540.2
238.617,437.9
226.903,404.8
220.197,332.3
171.772,300.8
150.345,236.3
148.498,218.1
149.018,221.3
146.386,215
143.253,215
139.999,217.4
138.235,211.8
140.134,227.6
139.174,233.9
137.229,320.5
190.117,394.5
207.587,429.2
212.764,444.2
215.775,439.4
233.782,436.3
246.084,438.6
244.755,444.2
244.883,430.8
244.287,422.9
243.553,405.6
227.936,343.4
217.477,318.2
210.75,307.9
179.631,284.3
164.717,225.2
160.958,218.1
153.373,209.5
152.083,206.3
148.84,213.4
147.293,218.1
146.41,233.1
146.022,242.6
145.798,258.3
147.457,315
196.707,396.9
215.985,449.7
216.16,563.9
221.995,556.8
233.515,549.7
232.16,530
231.355,505.6
241.917,500.1
243.804,477.2
230.593,466.2
226.886,400.1
213.853,371.7
197.335,297.7
161.662,271.7
150.782,222.9
152.938,212.6
146.087,212.6
146.221,211.1
142.851,212.6
140.783,211.8
140.165,210.3
139.962,209.5
135.981,186.6
134.989,204.8
179.904,218.9
177.467,218.1
173.072,218.1
171.344,216.6
178.394,218.9
180.938,218.9
178.176,219.7
180.813,218.1
177.009,218.9
176.292,216.6
178.485,216.6
185.756,215
187.127,233.1
167.071,238.6
151.947,221.3
146.952,212.6
143.955,208.7
143.75,212.6
143.181,212.6
142.315,212.6
140.209,214.2
138.855,219.7
141.231,196.9
139.555,198.5
132.223,200.8
132.548,195.3
131.019,199.2
128.597,194.5
130.018,197.7
134.665,195.3
138.26,196.1
140.922,191.4
134.863,194.5
139.755,195.3
141.568,192.2
142.351,192.9
143.506,207.1
144.456,213.4
142.863,214.2
142.262,210.3
140.641,211.8
135.865,210.3
135.596,214.2
137.5,212.6
136.473,211.1
135.592,219.7
135.025,212.6
134.395,245.7
194.516,269.3
214.588,258.3
216.374,262.2
233.703,259.9
225.771,261.5
231.375,261.5
240.132,270.1
234.199,272.5
232.673,262.2
229.787,261.5
219.95,256.7
212.877,256.7
205.681,275.6
176.507,273.3
164.233,222.9
162.613,204.8
155.597,211.8
154.254,204.8
149.854,204.8
150.092,205.5
146.759,205.5
146.053,241
142.685,270.1
141.393,325.2
194.038,415.8
207.686,456
211.956,460.7
220.075,466.2
229.142,457.5
239.962,461.5
238.77,463.1
236.567,456.8
239.66,441.8
230.858,413.4
221.458,351.2
214.785,325.2
198.481,310.3
178.9365,286.7
159.392,226
204.116,215
203.865,215.8
190.517,211.1
190.369,210.3
190.243,206.3
189.82,226.8
185.756,232.3
187.79,248.1
184.469,330.8
187.738,414.2
208.605,454.4
206.861,518.2
219.985,561.5
225.905,573.3
226.877,563.9
228.37,584.3
228.339,592.2
219.133,574.9
223.765,559.9
212.209,447.3
206.418,405.6
207.179,338.6
164.221,300
157.258,235.5
159.379,217.4
151.463,217.4
151.265,213.4
148.026,214.2
146.17,215
147.01,227.6
146.969,233.9
145.277,249.6
145.789,337.1
197.065,494.6
207.354,582
212.636,608.7
222.243,605.6
223.685,600.9
232.631,604.8
233.403,596.9
223.639,582
217.971,563.9
216.75,552
209.48,444.2
208.435,414.2
202.302,337.8
163.97,296.9
155.05,226.8
157.012,212.6
148.422,215
143.987,215.8
140.257,211.8
137.927,214.2
136.076,223.7
134.701,252.8
136.47,279.6
134.984,320.5
187.647,437.9
210.351,573.3
206.558,588.3
216.03,579.6
226.301,581.2
234.049,564.6
227.697,551.3
220.317,570.9
225.894,523.7
225.645,536.3
212.762,424.5
196.881,408.7
189.234,344.9
153.496,280.4
144.887,226
154.063,212.6
140.136,214.2
136.037,205.5
135.17,205.5
134.461,206.3
132.867,204.8
136.553,207.1
135.552,193.7
135.918,217.4
178.293,215.8
181.887,216.6
172.051,226
172.752,235.5
168.716,215
173.683,213.4
176.053,222.1
177.278,236.3
180.13,234.7
180.268,231.5
183.616,221.3
184.012,219.7
177.652,230.7
148.693,240.2
137.149,218.9
132.008,209.5
126.863,211.1
124.893,207.1
128.741,207.9
130.318,201.6
128.905,201.6
128.748,202.4
128.681,187.4
128.665,182.7
127.543,187.4
126.935,190.6
126.716,192.2
124.573,195.3
126.113,192.9
128.807,188.2
136.318,190.6
137.643,192.9
