AC,DC
125.493,229.2
125.953,228.4
126.261,227.6
124.583,256.7
179.583,333.1
202.146,422.9
212.844,462.3
222.939,482
222.397,525.3
224.499,493
231.416,488.3
223.613,485.9
224.379,479.6
224.226,472.5
219.944,459.9
210.806,467
203.517,383.5
145.8,350.4
131.693,344.9
129.935,311.1
131.968,244.9
130.993,233.9
130.132,233.1
131.516,231.5
131.446,233.1
128.787,240.2
128.399,248.1
129.087,279.6
183.4,338.6
198.5,446.5
202.762,480.4
212.21,486.7
216.281,482.7
227.455,478.8
229.78,494.6
229.978,478
230.335,481.2
228.791,463.8
222.487,458.3
207.807,462.3
205.224,374.9
146.531,332.3
136.403,329.2
135.753,300.8
134.022,246.5
134.74,232.3
134.745,230.7
131.863,231.5
130.716,231.5
130.865,233.9
130.592,230
131.331,264.6
184.284,332.3
207.589,425.3
214.396,461.5
226.317,477.2
231.214,474.9
233.606,508.7
236.773,488.3
232.218,507.2
232.745,495.3
231.177,469.4
224.912,452.8
213.519,453.6
204.569,381.9
145.032,344.1
125.818,337.8
123.985,304
123.666,242.6
125.677,232.3
124.285,233.1
123.894,240.2
124.144,230.7
126.069,240.2
124.433,246.5
124.975,274.8
181.185,330.8
202.189,407.1
214.517,465.4
224.095,475.7
225.311,491.4
230.809,513.5
229.308,484.3
225.665,488.3
225.422,472.5
214.758,480.4
207.467,463.8
199.739,448.9
196.127,365.4
140.473,353.6
128.253,332.3
126.639,288.2
125.52,233.9
125.756,216.6
126.801,218.9
123.943,217.4
124.696,215.8
123.943,216.6
125.865,216.6
124.623,221.3
173.505,224.4
189.47,220.5
190.68,237
196.115,257.5
201.473,274.8
205.307,273.3
205.628,274.8
201.533,271.7
207.806,280.4
206.49,270.9
209.633,252
209.597,235.5
208.064,238.6
155.571,237.8
137.492,237.8
137.104,237
136.445,218.1
134.959,206.3
135.147,209.5
133.295,207.1
132.158,207.9
130.982,209.5
129.667,207.9
129.237,211.8
129.656,216.6
131.327,208.7
132.903,198.5
131.241,210.3
134.105,233.9
135.348,232.3
138.313,231.5
141.137,228.4
139.26,232.3
145.112,230.7
144.881,209.5
137.924,213.4
131.351,216.6
129.656,216.6
130.476,215.8
131.236,216.6
129.194,211.1
129.756,208.7
129.829,211.1
129.505,209.5
128.782,209.5
127.377,222.9
127.71,230.7
127.184,273.3
180.856,330
203.439,406.4
213.372,438.6
223.56,457.5
229.598,451.2
230.102,448.9
230.841,463.1
226.201,459.9
219.452,454.4
224.945,448.1
219.871,433.9
208.945,433.9
200.324,356.7
140.295,326.8
129.588,322.9
124.335,289
123.982,228.4
124.621,214.2
123.568,213.4
124.371,214.2
123.673,213.4
124.343,211.1
123.672,214.2
123.886,241.8
176.984,309.5
198.252,391.4
204.813,429.2
214.266,452
216.166,455.2
219.858,437.9
216.3,450.5
220.706,458.3
216.65,463.1
217.586,452
213.793,441
206.021,444.2
200.585,366.2
140.884,335.5
126.934,329.2
126.627,308.7
125.048,248.1
125.624,238.6
123.587,237
122.655,237
122.905,235.5
123.081,247.3
122.683,252.8
120.854,273.3
175.45,332.3
197.427,393
203.744,439.4
217.507,459.1
220.723,448.1
230.711,447.3
231.075,479.6
231.69,481.2
227.671,452
224.721,448.1
214.206,437.9
206.221,441
197.873,365.4
140.431,330.8
130.376,322.9
128.371,296.9
125.333,232.3
125.189,217.4
125.046,215.8
126.073,216.6
125.829,216.6
124.618,215.8
124.53,217.4
125.963,246.5
179.515,317.4
195.654,396.1
203.545,431.6
214.571,456.8
223.59,472.5
223.773,453.6
223.631,453.6
225.019,457.5
219.641,465.4
216.935,449.7
214.118,435.5
206.023,437.1
197.605,353.6
140.085,325.2
129.186,315.8
126.848,285.1
126.427,221.3
124.73,214.2
124.981,209.5
124.586,211.8
124.431,212.6
125.176,219.7
123.681,230.7
123.41,253.6
177.073,316.6
198.421,379.6
205.094,423.7
215.961,439.4
217.302,469.4
214.713,459.1
215.511,457.5
214.076,462.3
207.609,452.8
205.464,448.9
199.711,436.3
193.489,431.6
190.362,355.2
136.942,326
122.25,322.9
121.405,278.8
120.692,226.8
120.484,213.4
122.003,215.8
121.613,215
122.964,218.9
121.797,218.9
121.992,218.9
121.878,225.2
172.282,227.6
181.3,222.9
182.029,222.9
185.919,249.6
191.188,252
191.316,248.9
194.707,259.9
193.988,268.5
198.128,253.6
194.732,244.9
195.026,239.4
190.869,251.2
181.556,244.1
137.322,244.9
127.276,245.7
125.776,245.7
122.565,226
121.973,220.5
120.971,217.4
121.076,221.3
120.913,220.5
120.715,219.7
120.54,223.7
121.115,226.8
119.633,230.7
119.636,216.6
122.27,206.3
122.443,206.3
122.826,205.5
124.108,208.7
124.595,209.5
123.782,204
125.039,207.1
125.175,205.5
126.502,207.9
126.98,212.6
126.919,224.4
125.186,225.2
125.091,228.4
124.95,226
122.394,219.7
122.608,217.4
123.833,216.6
122.914,220.5
123.387,217.4
122.618,220.5
124.125,222.9
123.29,267.8
177.544,322.9
199.464,397.7
212.436,444.2
224.71,470.1
231.059,485.1
233.938,485.9
233.101,478.8
236.964,488.3
232.844,494.6
233.62,482
230.022,449.7
223.709,437.9
211.982,356
150.407,323.7
135.226,317.4
133.582,282.7
132.343,219.7
133.227,209.5
132.531,205.5
132.963,205.5
132.01,202.4
131.841,215.8
128.422,221.3
127.87,242.6
185.427,303.2
214.328,396.1
224.589,429.2
237.098,455.2
243.177,471.7
251.635,470.1
256.136,463.8
261.158,460.7
256.24,461.5
246.507,445.7
240.305,430.8
229.25,432.3
222.288,357.5
165.032,327.6
143.05,315
135.728,285.1
132.303,219.7
133.453,206.3
133.762,207.1
132.401,206.3
133.961,204.8
132.992,207.1
131.897,205.5
131.483,233.1
184.077,295.3
214.257,394.5
226.283,437.1
225.593,456
228.299,473.3
228.029,475.7
228.431,478.8
229.037,477.2
233.434,501.6
