Power [kW]
72.44
67.27
77.65
66.06
83.38
85.68
123.52
103.02
101.86
70.97
55.45
45.91
59.94
50.17
61.76
47.75
101.62
126.52
136.33
111.81
121.92
97.27
93.18
68.76
99.33
89.20
98.55
88.52
104.95
129.93
200.22
214.90
595.39
574.23
545.53
544.99
516.76
544.77
544.44
544.41
589.27
515.07
374.85
361.05
248.88
235.09
90.66
56.81
84.71
121.32
106.70
119.72
112.36
160.03
212.48
257.56
624.18
603.69
579.54
583.51
556.69
585.58
587.16
585.71
628.36
554.05
411.06
394.33
281.21
267.06
90.66
56.33
49.92
61.37
104.10
121.20
113.15
161.45
207.34
212.13
592.96
572.14
544.50
544.37
527.30
582.82
576.48
576.39
599.86
514.98
374.77
361.13
249.05
235.42
91.23
91.25
117.75
115.47
122.51
115.04
129.02
156.45
205.06
213.11
593.63
572.61
544.95
544.79
516.74
545.02
544.65
544.39
589.43
515.38
375.25
361.64
249.64
236.04
112.98
116.18
122.64
114.55
122.38
114.16
128.98
155.72
204.60
214.16
594.46
572.60
544.72
544.56
516.38
555.90
583.00
576.83
621.59
536.49
374.68
360.99
248.81
235.19
91.28
73.27
76.38
90.39
87.23
96.23
94.88
116.33
206.63
128.10
312.34
291.41
263.81
298.19
296.65
285.05
74.44
90.38
151.21
133.12
83.08
70.26
70.05
65.88
116.67
91.57
99.54
85.29
101.03
85.60
108.37
105.96
149.07
123.77
127.14
88.27
71.72
68.02
75.24
67.04
73.74
65.62
110.31
144.90
150.35
128.89
134.12
113.28
104.89
84.41
110.96
104.87
110.22
103.99
115.96
144.80
202.69
215.04
595.44
574.55
546.90
546.80
518.28
545.96
545.84
545.81
585.38
517.41
377.21
363.48
251.35
237.61
136.75
127.46
112.57
119.51
112.08
118.43
117.74
158.91
203.81
214.55
595.18
574.34
546.03
545.21
516.85
544.80
544.75
544.73
583.95
515.68
375.52
361.91
249.99
236.21
104.85
124.75
114.08
123.42
114.13
123.61
121.16
165.13
206.04
212.55
593.26
572.45
544.83
544.68
516.42
578.69
577.31
576.55
615.96
549.04
410.00
393.25
280.78
266.93
90.66
56.57
50.19
82.53
121.10
105.87
131.97
157.96
207.58
212.00
603.95
611.24
576.56
576.82
548.94
577.09
577.25
577.21
616.13
542.01
374.65
361.00
248.87
235.27
91.28
56.88
98.83
118.56
110.36
123.28
122.08
165.33
206.15
212.97
593.26
572.11
589.55
577.80
556.54
591.02
599.28
607.08
649.43
581.76
441.08
427.06
317.32
308.10
90.66
55.86
20.92
20.92
20.92
20.92
27.80
64.23
224.00
188.59
360.04
342.24
317.72
317.73
320.25
317.60
122.05
117.96
152.64
136.64
82.85
69.55
70.02
56.52
73.91
99.59
78.15
92.12
81.14
97.21
95.23
117.56
136.35
135.52
115.67
103.78
62.23
71.67
62.24
70.84
60.13
74.24
105.71
157.63
147.96
142.23
132.21
126.59
103.53
98.05
82.28
90.34
81.66
89.96
88.25
110.01
129.65
128.32
112.70
100.43
59.80
74.95
60.09
74.69
59.24
83.41
111.65
160.81
149.71
140.66
132.98
125.07
102.09
94.53
108.54
116.00
107.40
111.87
110.22
150.86
203.83
214.34
595.33
574.09
545.44
545.12
516.89
544.80
544.89
545.10
584.68
516.83
377.11
363.50
251.38
237.69
140.80
127.28
110.38
118.98
108.80
117.10
114.24
157.15
202.70
214.83
595.40
574.55
546.91
546.79
518.73
546.57
546.16
546.13
579.96
517.39
377.21
363.51
251.40
237.67
141.39
128.12
111.93
120.68
111.18
120.14
117.37
161.05
203.07
214.72
595.33
574.48
546.79
546.21
517.08
544.92
544.61
544.47
577.83
515.30
375.15
361.52
249.42
235.77
104.84
124.42
113.49
122.89
114.25
123.05
121.55
165.33
207.13
212.05
592.91
572.07
544.54
544.56
516.43
544.41
544.38
544.36
577.66
515.03
374.85
361.22
249.11
235.38
91.23
98.33
95.42
87.40
94.78
87.94
102.33
109.01
207.41
128.00
312.56
291.62
263.89
284.64
299.97
295.63
106.21
106.23
139.56
133.03
83.08
70.26
90.85
112.82
114.06
91.85
96.49
88.34
95.33
87.88
101.41
107.49
141.11
124.29
118.99
91.69
70.17
63.26
69.40
62.58
67.45
60.63
99.00
141.61
146.12
126.05
130.47
110.73
101.16
81.73
107.17
101.97
105.98
100.82
111.60
141.61
200.04
210.04
595.99
574.97
547.29
547.20
519.17
547.03
546.95
546.93
580.22
517.60
377.41
363.65
251.48
237.69
131.96
126.79
112.29
119.10
111.65
117.98
117.37
158.32
204.04
208.71
595.25
574.48
546.86
546.80
517.87
545.30
545.07
544.98
578.27
515.67
375.51
361.77
249.70
236.02
105.03
125.16
115.14
123.61
114.52
122.35
120.24
163.26
205.18
208.15
594.10
573.03
545.00
544.56
535.88
579.85
576.47
576.53
609.84
547.04
406.60
392.77
280.59
266.90
90.66
56.56
50.18
49.94
86.86
126.92
119.03
169.35
218.52
255.46
625.40
605.70
583.19
603.39
591.95
640.52
646.86
648.56
677.70
620.38
479.72
465.81
353.73
340.34
90.66
55.86
48.98
48.98
48.98
48.98
55.86
90.67
246.10
314.35
702.00
683.28
656.38
656.48
627.85
648.70
630.56
625.18
652.96
594.82
450.78
427.22
312.59
290.30
90.66
55.86
20.92
22.24
30.80
21.86
28.97
42.52
212.77
168.69
344.47
323.80
296.33
296.43
296.40
296.22
106.79
106.72
112.60
101.11
83.20
70.04
95.09
112.06
112.44
84.59
92.12
78.01
98.20
89.33
105.35
110.49
147.32
123.10
126.29
86.49
75.22
61.95
80.26
65.78
82.19
65.88
109.44
148.12
162.63
129.88
143.72
114.26
115.15
86.69
120.01
104.33
116.89
102.61
121.95
143.08
207.16
206.73
593.14
572.22
544.60
544.47
516.40
554.87
582.36
575.70
603.11
520.17
374.74
361.05
248.99
235.28
91.27
93.95
117.67
114.85
123.21
114.18
128.97
155.10
205.15
207.30
593.42
572.39
544.54
544.35
516.24
582.43
576.49
576.18
603.82
546.89
385.23
392.68
264.55
234.91
90.91
57.07
110.84
109.76
122.75
114.29
128.92
155.75
204.72
207.57
593.80
572.77
544.97
544.75
516.56
544.65
544.42
544.34
571.89
515.11
374.99
361.32
249.20
235.56
91.32
119.67
104.13
119.19
105.15
119.02
111.80
160.64
205.75
206.76
593.11
572.18
544.47
544.34
536.26
579.83
576.69
576.76
604.34
547.37
380.01
360.90
248.77
235.12
91.27
73.19
104.26
118.17
116.01
123.04
122.63
164.98
207.18
206.31
592.96
572.18
544.54
544.46
516.36
572.12
578.38
576.99
604.72
542.05
407.36
393.49
281.25
267.40
90.66
56.56
21.87
22.11
33.72
78.32
101.09
100.78
212.56
161.62
344.10
323.25
295.77
295.87
295.98
296.06
106.74
106.73
134.25
127.66
82.85
70.03
70.28
77.81
100.30
101.89
80.66
95.11
80.77
95.27
87.84
117.31
141.82
128.31
114.10
102.15
59.18
71.87
56.72
68.91
57.05
71.10
83.64
145.11
136.56
134.31
120.71
118.02
91.34
88.34
97.24
107.89
96.08
106.38
101.85
146.86
202.29
203.63
595.58
574.68
547.01
546.88
518.80
546.67
546.19
545.81
573.38
511.21
377.18
363.46
251.32
237.58
132.10
127.83
112.95
120.15
112.45
119.21
118.30
159.45
203.73
202.92
595.15
574.32
545.92
545.20
516.82
545.00
544.68
544.30
571.82
509.27
374.96
361.39
249.42
235.94
124.92
116.00
122.38
113.52
122.09
113.35
128.69
154.55
204.49
202.60
594.10
572.69
544.78
544.52
535.94
580.17
577.14
576.95
604.39
525.27
374.79
361.20
249.08
235.38
91.39
101.68
121.97
114.25
122.55
113.80
129.06
155.33
204.77
202.26
593.52
572.30
544.47
588.74
548.85
577.12
578.25
579.59
608.23
544.28
408.23
393.72
281.45
267.57
90.66
56.33
49.92
50.18
57.29
118.85
113.93
163.30
210.89
228.02
626.94
608.21
589.16
597.66
581.44
617.53
617.55
614.58
633.90
562.79
420.06
400.91
286.65
270.65
90.66
55.86
22.11
21.88
22.15
21.91
50.05
101.46
213.58
157.23
344.78
326.02
308.62
327.39
340.47
350.84
164.99
167.39
195.00
177.03
82.85
69.08
69.08
55.32
41.56
64.56
37.92
31.15
21.85
22.11
28.76
87.01
132.67
129.35
49.13
28.71
0.94
1.17
24.33
22.00
19.10
23.07
44.83
82.09
83.78
70.27
85.02
138.45
108.10
110.97
115.60
132.23
115.52
131.97
122.26
173.92
218.95
267.82
652.10
634.53
610.08
614.68
591.62
622.63
622.56
621.91
647.55
575.03
435.17
412.63
293.28
273.25
90.66
55.86
49.44
49.91
50.15
49.92
57.05
91.62
205.54
250.28
630.85
614.52
590.49
593.84
569.29
601.42
606.11
610.59
637.34
561.16
424.69
406.86
293.79
278.91
90.66
55.86
48.98
49.45
49.91
50.16
56.81
91.87
209.34
251.58
631.58
616.44
591.71
592.13
564.03
590.84
588.75
586.37
611.41
540.29
409.02
394.19
281.66
240.26
90.66
56.95
49.97
86.69
118.39
110.41
130.10
157.34
199.68
201.13
593.32
572.36
544.67
544.56
516.76
545.17
565.30
580.19
582.79
503.40
374.95
361.39
249.42
236.02
106.01
110.47
122.98
115.01
122.24
114.74
128.89
156.25
198.87
202.56
594.32
572.85
544.98
544.75
516.58
544.55
544.47
544.40
572.00
503.67
375.09
361.45
249.35
235.72
96.81
124.76
77.00
91.05
76.95
90.77
83.62
111.15
199.39
117.79
313.00
291.86
264.11
263.92
263.74
263.65
94.45
109.84
134.02
89.58
83.32
70.03
104.97
126.51
99.01
99.06
78.41
92.44
89.15
96.81
97.84
119.44
133.01
126.33
106.96
101.77
60.77
77.32
63.83
80.07
63.68
78.33
89.21
140.55
141.93
141.55
127.15
127.15
105.32
104.82
91.22
96.51
89.95
95.50
95.49
114.04
123.19
118.78
112.77
97.35
64.14
69.62
63.53
69.34
61.89
69.58
89.27
133.06
142.56
134.80
127.67
120.00
99.33
91.65
106.21
112.06
104.89
110.29
110.39
150.78
193.71
201.30
593.39
572.43
544.70
544.54
516.42
544.37
544.33
544.33
571.91
497.84
375.17
361.60
249.51
235.83
104.61
124.65
104.46
118.18
104.23
117.77
110.37
158.46
193.64
201.32
593.21
572.15
576.96
576.83
548.09
577.92
588.30
603.37
639.27
562.07
434.88
416.40
300.28
282.77
90.66
55.86
48.98
54.07
63.08
64.15
60.91
91.84
205.58
262.01
659.18
651.09
633.25
637.63
611.19
639.75
638.39
631.58
652.04
571.65
433.68
410.16
293.57
275.26
90.66
55.86
48.98
49.68
50.15
49.92
57.05
91.62
204.85
250.64
625.65
606.13
580.44
583.33
557.96
588.87
591.95
