Location: Central NY                                                                                
      43.546181     -75.530991       60.00
          16        1.00        0.00
         4.4   3.7   2.3   1.7   1.7   3.0   6.9   7.7   7.4   6.8   7.7   9.7  14.1  10.8   7.0   5.2
  1.00    18    24    41    57    49    31    13    13    15    17    16    11     9    10    15    18
  2.00    67    68    98   117   116    78    43    44    54    62    53    42    30    38    51    56
  3.00    93   107   124   141   158   112    68    71    84    96    89    82    53    65    87    97
  4.00   135   127   138   147   144   120    90    94   110   129   127   121    96   109   130   142
  5.00   169   153   162   157   147   136   114   126   133   156   154   158   141   163   172   181
  6.00   179   168   171   128   134   143   139   144   157   165   156   158   165   174   178   178
  7.00   139   146   134   117   114   136   158   165   159   146   150   141   159   148   148   144
  8.00    96   107    86    81    76   109   148   147   131   112   116   108   116   113   110   102
  9.00    61    60    34    37    36    62    97    88    80    70    67    72    80    72    54    50
 10.00    27    23    10    11    11    32    53    52    44    30    38    46    57    47    29    20
 11.00     9     9     2     4     7    17    30    29    19    11    18    27    40    28    15     7
 12.00     4     4     0     2     6    13    18    15     8     6    11    16    25    17     7     3
 13.00     3     2     0     0     1     7    14     8     2     2     5     9    13     9     2     1
 14.00     1     2     0     0     0     3     8     3     2     0     1     4     7     4     0     0
 15.00     0     0     0     0     0     2     7     1     0     0     0     2     3     2     0     0
 16.00     0     0     0     0     0     0     2     0     0     0     0     1     2     0     0     0
 17.00     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0
 18.00     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0
 19.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 20.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 21.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 22.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 23.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 24.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 25.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 26.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 27.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 28.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 29.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 30.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 31.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 32.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 33.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 34.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 35.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
 36.00     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
